calendar,businessDayConvention,endOfMonthConvention,contractType,statusDate,contractRole,legalEntityIDRecordCreator,contractID,legalEntityIDCounterparty,cycleAnchorDateOfInterestPayment,cycleOfInterestPayment,nominalInterestRate,dayCountConvention,accruedInterest,cyclePointOfInterestPayment,currency,amortizationDate,contractDealDate,initialExchangeDate,premiumDiscountAtIED,maturityDate,notionalPrincipal,cycleAnchorDateOfPrincipalRedemption,cycleOfPrincipalRedemption,nextPrincipalRedemptionPayment,terminationDate,cycleAnchorDateOfRateReset,cycleOfRateReset,rateSpread,marketObjectCodeOfRateReset,cyclePointOfRateReset,rateMultiplier,description,contrStrucObj.marketObjectCode,contrStruc.referenceType,contrStruc.referenceRole
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALM0011,DC_EcoSec_M,2023-01-01,P1YL1,0.03,30E360,NULL,E,CHF,2026-01-01,2021-12-31,2022-01-01,0,2026-01-01,1154589,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,4 years mortgage with variable rate + spread z,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALM0012,DC_EcoSec_M,2023-01-01,P1YL1,0.02,30E360,NULL,E,CHF,2024-01-01,2021-12-31,2022-01-01,0,2024-01-01,1269912,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,2 years mortgage with nominal interest + spread y,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALM0013,DC_EcoSec_M,2023-01-01,P1YL1,0.04,30E360,NULL,E,CHF,2031-01-01,2021-12-31,2022-01-01,0,2031-01-01,2221981,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,9 years mortgage with nominal interest + spread z,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALM0014,DC_EcoSec_M,2023-01-01,P1YL1,0.04,30E360,NULL,E,CHF,2030-01-01,2021-12-31,2022-01-01,0,2030-01-01,742785,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,8 years mortgage with variable rate,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALM0015,DC_EcoSec_M,2023-01-01,P1YL1,0.03,30E360,NULL,E,CHF,2028-01-01,2021-12-31,2022-01-01,0,2028-01-01,1251837,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,6 years mortgage with nominal rate,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALL0001,DC_EcoSec_M,2023-01-01,P1YL1,0.02,30E360,NULL,E,CHF,2024-01-01,2021-12-31,2022-01-01,0,2024-01-01,351822,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,2 years loan with nominal rate,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALL0002,DC_EcoSec_M,2023-01-01,P1YL1,0.03,30E360,NULL,E,CHF,2027-01-01,2021-12-31,2022-01-01,0,2027-01-01,550000,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,5 years loan with variable rate,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALL0003,DC_EcoSec_M,2023-01-01,P1YL1,0.03,30E360,NULL,E,CHF,2026-01-01,2021-12-31,2022-01-01,0,2026-01-01,725000,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,4 years loan with variable rate + spread,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALL0004,DC_EcoSec_M,2023-01-01,P1YL1,0.03,30E360,NULL,E,CHF,2029-01-01,2021-12-31,2022-01-01,0,2029-01-01,225000,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,7 years loan with variable rate + spread,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALL0005,DC_EcoSec_L,2023-01-01,P1YL1,0.03,30E360,NULL,E,CHF,2028-01-01,2021-12-31,2022-01-01,0,2028-01-01,500000,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,6 years loan with nominal rate,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALL0006,DC_EcoSec_L,2023-01-01,P1YL1,0.04,30E360,NULL,E,CHF,2032-01-01,2021-12-31,2022-01-01,0,2032-01-01,1450000,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,10 years loan with nominal rate,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPA,NULL,ALL0007,DC_EcoSec_L,2023-01-01,P1YL1,0.04,30E360,NULL,E,CHF,2030-01-01,2021-12-31,2022-01-01,0,2030-01-01,550000,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,8 years loan with variable rate + spread,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPL,NULL,LLL0001,CP_A,2023-01-01,P1YL1,0.03,30E360,NULL,E,CHF,2027-01-01,2021-12-31,2022-01-01,0,2027-01-01,1500000,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,5 years loan to bank with variable rate + spread,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPL,NULL,LLL0002,CP_A,2023-01-01,P1YL1,0.04,30E360,NULL,E,CHF,2032-01-01,2021-12-31,2022-01-01,0,2032-01-01,3500000,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,10 years loan to bank with variable rate + spread,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPL,NULL,LLL0003,CP_A,2023-01-01,P1YL1,0.03,30E360,NULL,E,CHF,2029-01-01,2021-12-31,2022-01-01,0,2029-01-01,2000000,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,7 years loan to bank with nominal rate,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPL,NULL,LLL0004,CP_A,2023-01-01,P1YL1,0.02,30E360,NULL,E,CHF,2024-01-01,2021-12-31,2022-01-01,0,2024-01-01,1250000,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,2 years loan to bank with nominal rate,NULL,NULL,NULL
NOCALENDAR,NULL,NULL,ANN,2021-12-31,RPL,NULL,LLL0005,CP_A,2023-01-01,P1YL1,0.02,30E360,NULL,E,CHF,2025-01-01,2021-12-31,2022-01-01,0,2025-01-01,1750000,2023-01-01,P1YL1,NULL,NULL,,,0,,B,1,3 years loan to bank with variable rate + spread,NULL,NULL,NULL
